,realtime_start,date,value
0,1927-01-26 00:00:00,1919-01-01 00:00:00,83.0
1,1928-01-27 00:00:00,1919-01-01 00:00:00,
2,1931-08-26 00:00:00,1919-01-01 00:00:00,82.0
3,1940-08-19 00:00:00,1919-01-01 00:00:00,71.0
4,1953-12-01 00:00:00,1919-01-01 00:00:00,38.0
5,1960-01-15 00:00:00,1919-01-01 00:00:00,24.5
6,1962-11-16 00:00:00,1919-01-01 00:00:00,24.6
7,1971-08-16 00:00:00,1919-01-01 00:00:00,
8,1972-11-15 00:00:00,1919-01-01 00:00:00,13.9
9,1985-07-18 00:00:00,1919-01-01 00:00:00,10.2
10,1990-04-17 00:00:00,1919-01-01 00:00:00,8.0
11,1997-01-27 00:00:00,1919-01-01 00:00:00,7.624
12,1997-12-09 00:00:00,1919-01-01 00:00:00,7.628
13,1999-08-17 00:00:00,1919-01-01 00:00:00,
14,2008-03-28 00:00:00,1919-01-01 00:00:00,5.4412
15,2009-03-27 00:00:00,1919-01-01 00:00:00,5.4404
16,2010-06-25 00:00:00,1919-01-01 00:00:00,4.8404
17,2011-03-25 00:00:00,1919-01-01 00:00:00,4.8502
18,2012-03-30 00:00:00,1919-01-01 00:00:00,4.8605
19,2013-03-22 00:00:00,1919-01-01 00:00:00,4.8575
20,2014-04-16 00:00:00,1919-01-01 00:00:00,4.8582
21,2015-07-21 00:00:00,1919-01-01 00:00:00,5.0354
22,2016-04-01 00:00:00,1919-01-01 00:00:00,5.0585
23,2017-03-31 00:00:00,1919-01-01 00:00:00,5.0346
24,2018-03-23 00:00:00,1919-01-01 00:00:00,5.0124
25,2021-05-28 00:00:00,1919-01-01 00:00:00,4.8902
26,2022-06-28 00:00:00,1919-01-01 00:00:00,4.8773
27,2023-03-28 00:00:00,1919-01-01 00:00:00,4.8665
28,2024-06-28 00:00:00,1919-01-01 00:00:00,4.8654
29,2025-11-24 00:00:00,1919-01-01 00:00:00,4.8739
30,1927-01-26 00:00:00,1919-02-01 00:00:00,80.0
31,1928-01-27 00:00:00,1919-02-01 00:00:00,
32,1931-08-26 00:00:00,1919-02-01 00:00:00,79.0
33,1940-08-19 00:00:00,1919-02-01 00:00:00,68.0
34,1953-12-01 00:00:00,1919-02-01 00:00:00,37.0
35,1960-01-15 00:00:00,1919-02-01 00:00:00,23.5
36,1962-11-16 00:00:00,1919-02-01 00:00:00,23.6
37,1971-08-16 00:00:00,1919-02-01 00:00:00,
38,1972-11-15 00:00:00,1919-02-01 00:00:00,13.3
39,1976-07-16 00:00:00,1919-02-01 00:00:00,13.2
40,1985-07-18 00:00:00,1919-02-01 00:00:00,9.7
41,1990-04-17 00:00:00,1919-02-01 00:00:00,7.6
42,1997-01-27 00:00:00,1919-02-01 00:00:00,7.287
43,1997-12-09 00:00:00,1919-02-01 00:00:00,7.291
44,1999-08-17 00:00:00,1919-02-01 00:00:00,
45,2008-03-28 00:00:00,1919-02-01 00:00:00,5.2007
46,2009-03-27 00:00:00,1919-02-01 00:00:00,5.2
47,2010-06-25 00:00:00,1919-02-01 00:00:00,4.6265
48,2011-03-25 00:00:00,1919-02-01 00:00:00,4.6358
49,2012-03-30 00:00:00,1919-02-01 00:00:00,4.6457
50,2013-03-22 00:00:00,1919-02-01 00:00:00,4.6428
51,2014-04-16 00:00:00,1919-02-01 00:00:00,4.6435
52,2015-07-21 00:00:00,1919-02-01 00:00:00,4.8128
53,2016-04-01 00:00:00,1919-02-01 00:00:00,4.8349
54,2017-03-31 00:00:00,1919-02-01 00:00:00,4.8121
