,realtime_start,date,value
0,2000-08-01 00:00:00,1959-01-01 00:00:00,21.47
1,2003-12-23 00:00:00,1959-01-01 00:00:00,
2,2004-01-05 00:00:00,1959-01-01 00:00:00,20.32
3,2004-02-02 00:00:00,1959-01-01 00:00:00,20.315
4,2009-08-04 00:00:00,1959-01-01 00:00:00,
5,2009-08-05 00:00:00,1959-01-01 00:00:00,18.157
6,2011-08-02 00:00:00,1959-01-01 00:00:00,18.166
7,2013-08-02 00:00:00,1959-01-01 00:00:00,17.123
8,2014-08-01 00:00:00,1959-01-01 00:00:00,17.124
9,2018-07-31 00:00:00,1959-01-01 00:00:00,16.074
10,2021-07-30 00:00:00,1959-01-01 00:00:00,16.042
11,2023-09-29 00:00:00,1959-01-01 00:00:00,15.164
12,2000-08-01 00:00:00,1959-02-01 00:00:00,21.48
13,2003-12-23 00:00:00,1959-02-01 00:00:00,
14,2004-01-05 00:00:00,1959-02-01 00:00:00,20.32
15,2004-02-02 00:00:00,1959-02-01 00:00:00,20.315
16,2009-08-04 00:00:00,1959-02-01 00:00:00,
17,2009-08-05 00:00:00,1959-02-01 00:00:00,18.173
18,2011-08-02 00:00:00,1959-02-01 00:00:00,18.181
19,2013-08-02 00:00:00,1959-02-01 00:00:00,17.138
20,2018-07-31 00:00:00,1959-02-01 00:00:00,16.089
21,2021-07-30 00:00:00,1959-02-01 00:00:00,16.057
22,2023-09-29 00:00:00,1959-02-01 00:00:00,15.179
23,2000-08-01 00:00:00,1959-03-01 00:00:00,21.49
24,2003-12-23 00:00:00,1959-03-01 00:00:00,
25,2004-01-05 00:00:00,1959-03-01 00:00:00,20.32
26,2004-02-02 00:00:00,1959-03-01 00:00:00,20.316
27,2009-08-04 00:00:00,1959-03-01 00:00:00,
28,2009-08-05 00:00:00,1959-03-01 00:00:00,18.185
29,2011-08-02 00:00:00,1959-03-01 00:00:00,18.193
30,2013-08-02 00:00:00,1959-03-01 00:00:00,17.149
31,2018-07-31 00:00:00,1959-03-01 00:00:00,16.1
32,2021-07-30 00:00:00,1959-03-01 00:00:00,16.068
33,2023-09-29 00:00:00,1959-03-01 00:00:00,15.189
34,2000-08-01 00:00:00,1959-04-01 00:00:00,21.53
35,2003-12-23 00:00:00,1959-04-01 00:00:00,
36,2004-01-05 00:00:00,1959-04-01 00:00:00,20.35
37,2004-02-02 00:00:00,1959-04-01 00:00:00,20.346
38,2009-08-04 00:00:00,1959-04-01 00:00:00,
39,2009-08-05 00:00:00,1959-04-01 00:00:00,18.221
40,2011-08-02 00:00:00,1959-04-01 00:00:00,18.229
41,2013-08-02 00:00:00,1959-04-01 00:00:00,17.182
42,2014-08-01 00:00:00,1959-04-01 00:00:00,17.183
43,2018-07-31 00:00:00,1959-04-01 00:00:00,16.132
44,2021-07-30 00:00:00,1959-04-01 00:00:00,16.1
45,2023-09-29 00:00:00,1959-04-01 00:00:00,15.219
46,2000-08-01 00:00:00,1959-05-01 00:00:00,21.54
47,2003-12-23 00:00:00,1959-05-01 00:00:00,
48,2004-01-05 00:00:00,1959-05-01 00:00:00,20.35
49,2009-08-04 00:00:00,1959-05-01 00:00:00,
50,2009-08-05 00:00:00,1959-05-01 00:00:00,18.23
51,2011-08-02 00:00:00,1959-05-01 00:00:00,18.238
52,2013-08-02 00:00:00,1959-05-01 00:00:00,17.191
53,2018-07-31 00:00:00,1959-05-01 00:00:00,16.14
54,2021-07-30 00:00:00,1959-05-01 00:00:00,16.109
55,2023-09-29 00:00:00,1959-05-01 00:00:00,15.227
56,2000-08-01 00:00:00,1959-06-01 00:00:00,21.6
57,2003-12-23 00:00:00,1959-06-01 00:00:00,
58,2004-01-05 00:00:00,1959-06-01 00:00:00,20.4
59,2004-02-02 00:00:00,1959-06-01 00:00:00,20.399
60,2009-08-04 00:00:00,1959-06-01 00:00:00,
61,2009-08-05 00:00:00,1959-06-01 00:00:00,18.281
62,2011-08-02 00:00:00,1959-06-01 00:00:00,18.29
63,2013-08-02 00:00:00,1959-06-01 00:00:00,17.239
64,2014-08-01 00:00:00,1959-06-01 00:00:00,17.24
65,2018-07-31 00:00:00,1959-06-01 00:00:00,16.186
66,2021-07-30 00:00:00,1959-06-01 00:00:00,16.155
67,2023-09-29 00:00:00,1959-06-01 00:00:00,15.271
68,2000-08-01 00:00:00,1959-07-01 00:00:00,21.65
69,2003-12-23 00:00:00,1959-07-01 00:00:00,
70,2004-01-05 00:00:00,1959-07-01 00:00:00,20.44
71,2004-02-02 00:00:00,1959-07-01 00:00:00,20.437
72,2009-08-04 00:00:00,1959-07-01 00:00:00,
73,2009-08-05 00:00:00,1959-07-01 00:00:00,18.319
74,2011-08-02 00:00:00,1959-07-01 00:00:00,18.328
75,2013-08-02 00:00:00,1959-07-01 00:00:00,17.275
76,2018-07-31 00:00:00,1959-07-01 00:00:00,16.22
77,2021-07-30 00:00:00,1959-07-01 00:00:00,16.189
78,2023-09-29 00:00:00,1959-07-01 00:00:00,15.303
79,2000-08-01 00:00:00,1959-08-01 00:00:00,21.67
80,2003-12-23 00:00:00,1959-08-01 00:00:00,
81,2004-01-05 00:00:00,1959-08-01 00:00:00,20.46
82,2004-02-02 00:00:00,1959-08-01 00:00:00,20.462
83,2009-08-04 00:00:00,1959-08-01 00:00:00,
84,2009-08-05 00:00:00,1959-08-01 00:00:00,18.346
85,2011-08-02 00:00:00,1959-08-01 00:00:00,18.354
86,2013-08-02 00:00:00,1959-08-01 00:00:00,17.3
87,2018-07-31 00:00:00,1959-08-01 00:00:00,16.244
88,2021-07-30 00:00:00,1959-08-01 00:00:00,16.212
89,2023-09-29 00:00:00,1959-08-01 00:00:00,15.325
90,2000-08-01 00:00:00,1959-09-01 00:00:00,21.73
91,2003-12-23 00:00:00,1959-09-01 00:00:00,
92,2004-01-05 00:00:00,1959-09-01 00:00:00,20.51
93,2004-02-02 00:00:00,1959-09-01 00:00:00,20.512
94,2009-08-04 00:00:00,1959-09-01 00:00:00,
95,2009-08-05 00:00:00,1959-09-01 00:00:00,18.394
96,2011-08-02 00:00:00,1959-09-01 00:00:00,18.402
97,2013-08-02 00:00:00,1959-09-01 00:00:00,17.345
98,2018-07-31 00:00:00,1959-09-01 00:00:00,16.286
99,2021-07-30 00:00:00,1959-09-01 00:00:00,16.255
100,2023-09-29 00:00:00,1959-09-01 00:00:00,15.365
101,2000-08-01 00:00:00,1959-10-01 00:00:00,21.78
102,2003-12-23 00:00:00,1959-10-01 00:00:00,
103,2004-01-05 00:00:00,1959-10-01 00:00:00,20.56
104,2004-02-02 00:00:00,1959-10-01 00:00:00,20.559
105,2009-08-04 00:00:00,1959-10-01 00:00:00,
106,2009-08-05 00:00:00,1959-10-01 00:00:00,18.438
107,2011-08-02 00:00:00,1959-10-01 00:00:00,18.447
108,2013-08-02 00:00:00,1959-10-01 00:00:00,17.387
109,2018-07-31 00:00:00,1959-10-01 00:00:00,16.326
110,2021-07-30 00:00:00,1959-10-01 00:00:00,16.294
111,2023-09-29 00:00:00,1959-10-01 00:00:00,15.402
112,2000-08-01 00:00:00,1959-11-01 00:00:00,21.8
113,2003-12-23 00:00:00,1959-11-01 00:00:00,
114,2004-01-05 00:00:00,1959-11-01 00:00:00,20.57
115,2004-02-02 00:00:00,1959-11-01 00:00:00,20.572
116,2009-08-04 00:00:00,1959-11-01 00:00:00,
117,2009-08-05 00:00:00,1959-11-01 00:00:00,18.45
118,2011-08-02 00:00:00,1959-11-01 00:00:00,18.458
119,2013-08-02 00:00:00,1959-11-01 00:00:00,17.398
120,2018-07-31 00:00:00,1959-11-01 00:00:00,16.336
121,2021-07-30 00:00:00,1959-11-01 00:00:00,16.304
122,2023-09-29 00:00:00,1959-11-01 00:00:00,15.412
123,2000-08-01 00:00:00,1959-12-01 00:00:00,21.83
124,2003-12-23 00:00:00,1959-12-01 00:00:00,
125,2004-01-05 00:00:00,1959-12-01 00:00:00,20.6
126,2004-02-02 00:00:00,1959-12-01 00:00:00,20.598
127,2009-08-04 00:00:00,1959-12-01 00:00:00,
128,2009-08-05 00:00:00,1959-12-01 00:00:00,18.471
129,2011-08-02 00:00:00,1959-12-01 00:00:00,18.479
130,2013-08-02 00:00:00,1959-12-01 00:00:00,17.418
131,2018-07-31 00:00:00,1959-12-01 00:00:00,16.355
132,2021-07-30 00:00:00,1959-12-01 00:00:00,16.323
133,2023-09-29 00:00:00,1959-12-01 00:00:00,15.43
134,2000-08-01 00:00:00,1960-01-01 00:00:00,21.82
135,2003-12-23 00:00:00,1960-01-01 00:00:00,
136,2004-01-05 00:00:00,1960-01-01 00:00:00,20.59
137,2004-02-02 00:00:00,1960-01-01 00:00:00,20.594
138,2009-08-04 00:00:00,1960-01-01 00:00:00,
139,2009-08-05 00:00:00,1960-01-01 00:00:00,18.462
140,2011-08-02 00:00:00,1960-01-01 00:00:00,18.47
141,2013-08-02 00:00:00,1960-01-01 00:00:00,17.409
142,2014-08-01 00:00:00,1960-01-01 00:00:00,17.41
143,2018-07-31 00:00:00,1960-01-01 00:00:00,16.346
144,2021-07-30 00:00:00,1960-01-01 00:00:00,16.314
145,2023-09-29 00:00:00,1960-01-01 00:00:00,15.421
146,2000-08-01 00:00:00,1960-02-01 00:00:00,21.84
147,2003-12-23 00:00:00,1960-02-01 00:00:00,
148,2004-01-05 00:00:00,1960-02-01 00:00:00,20.62
149,2004-02-02 00:00:00,1960-02-01 00:00:00,20.618
150,2009-08-04 00:00:00,1960-02-01 00:00:00,
151,2009-08-05 00:00:00,1960-02-01 00:00:00,18.48
152,2011-08-02 00:00:00,1960-02-01 00:00:00,18.488
153,2013-08-02 00:00:00,1960-02-01 00:00:00,17.427
154,2018-07-31 00:00:00,1960-02-01 00:00:00,16.363
155,2021-07-30 00:00:00,1960-02-01 00:00:00,16.331
156,2023-09-29 00:00:00,1960-02-01 00:00:00,15.437
157,2000-08-01 00:00:00,1960-03-01 00:00:00,21.86
158,2003-12-23 00:00:00,1960-03-01 00:00:00,
159,2004-01-05 00:00:00,1960-03-01 00:00:00,20.64
160,2004-02-02 00:00:00,1960-03-01 00:00:00,20.636
161,2009-08-04 00:00:00,1960-03-01 00:00:00,
162,2009-08-05 00:00:00,1960-03-01 00:00:00,18.491
163,2011-08-02 00:00:00,1960-03-01 00:00:00,18.499
164,2013-08-02 00:00:00,1960-03-01 00:00:00,17.437
165,2018-07-31 00:00:00,1960-03-01 00:00:00,16.372
166,2021-07-30 00:00:00,1960-03-01 00:00:00,16.34
167,2023-09-29 00:00:00,1960-03-01 00:00:00,15.446
168,2000-08-01 00:00:00,1960-04-01 00:00:00,21.94
169,2003-12-23 00:00:00,1960-04-01 00:00:00,
170,2004-01-05 00:00:00,1960-04-01 00:00:00,20.71
171,2004-02-02 00:00:00,1960-04-01 00:00:00,20.711
172,2009-08-04 00:00:00,1960-04-01 00:00:00,
173,2009-08-05 00:00:00,1960-04-01 00:00:00,18.558
174,2011-08-02 00:00:00,1960-04-01 00:00:00,18.566
175,2013-08-02 00:00:00,1960-04-01 00:00:00,17.5
176,2014-08-01 00:00:00,1960-04-01 00:00:00,17.501
177,2018-07-31 00:00:00,1960-04-01 00:00:00,16.432
