,realtime_start,date,value
0,1960-03-15 00:00:00,1948-01-01 00:00:00,3.5
1,1966-02-08 00:00:00,1948-01-01 00:00:00,3.4
2,1960-03-15 00:00:00,1948-02-01 00:00:00,3.8
3,1966-02-08 00:00:00,1948-02-01 00:00:00,3.9
4,1967-02-09 00:00:00,1948-02-01 00:00:00,3.8
5,1960-03-15 00:00:00,1948-03-01 00:00:00,4.0
6,1960-03-15 00:00:00,1948-04-01 00:00:00,4.0
7,1964-02-06 00:00:00,1948-04-01 00:00:00,4.1
8,1966-02-08 00:00:00,1948-04-01 00:00:00,4.0
9,1967-02-09 00:00:00,1948-04-01 00:00:00,3.9
10,1960-03-15 00:00:00,1948-05-01 00:00:00,3.6
11,1964-02-06 00:00:00,1948-05-01 00:00:00,3.5
12,1960-03-15 00:00:00,1948-06-01 00:00:00,3.8
13,1964-02-06 00:00:00,1948-06-01 00:00:00,3.7
14,1967-02-09 00:00:00,1948-06-01 00:00:00,3.6
15,1960-03-15 00:00:00,1948-07-01 00:00:00,3.7
16,1964-02-06 00:00:00,1948-07-01 00:00:00,3.6
17,1966-02-08 00:00:00,1948-07-01 00:00:00,3.7
18,1967-02-09 00:00:00,1948-07-01 00:00:00,3.6
19,1960-03-15 00:00:00,1948-08-01 00:00:00,3.9
20,1961-02-09 00:00:00,1948-08-01 00:00:00,4.0
21,1964-02-06 00:00:00,1948-08-01 00:00:00,3.9
22,1960-03-15 00:00:00,1948-09-01 00:00:00,3.8
23,1960-03-15 00:00:00,1948-10-01 00:00:00,3.7
24,1961-02-09 00:00:00,1948-10-01 00:00:00,3.6
25,1964-02-06 00:00:00,1948-10-01 00:00:00,3.7
26,1960-03-15 00:00:00,1948-11-01 00:00:00,3.8
27,1962-01-31 00:00:00,1948-11-01 00:00:00,3.7
28,1964-02-06 00:00:00,1948-11-01 00:00:00,3.8
29,1960-03-15 00:00:00,1948-12-01 00:00:00,4.0
30,1961-02-09 00:00:00,1948-12-01 00:00:00,3.8
31,1964-02-06 00:00:00,1948-12-01 00:00:00,4.0
32,1960-03-15 00:00:00,1949-01-01 00:00:00,4.4
33,1961-02-09 00:00:00,1949-01-01 00:00:00,4.3
34,1960-03-15 00:00:00,1949-02-01 00:00:00,4.7
35,1960-03-15 00:00:00,1949-03-01 00:00:00,5.0
36,1963-03-07 00:00:00,1949-03-01 00:00:00,4.9
37,1966-02-08 00:00:00,1949-03-01 00:00:00,5.0
38,1960-03-15 00:00:00,1949-04-01 00:00:00,5.4
39,1963-03-07 00:00:00,1949-04-01 00:00:00,5.6
40,1964-02-06 00:00:00,1949-04-01 00:00:00,5.4
41,1966-02-08 00:00:00,1949-04-01 00:00:00,5.3
42,1960-03-15 00:00:00,1949-05-01 00:00:00,6.2
43,1961-02-09 00:00:00,1949-05-01 00:00:00,6.1
44,1962-01-31 00:00:00,1949-05-01 00:00:00,6.2
45,1964-02-06 00:00:00,1949-05-01 00:00:00,6.1
46,1966-02-08 00:00:00,1949-05-01 00:00:00,6.0
47,1967-02-09 00:00:00,1949-05-01 00:00:00,6.1
48,1960-03-15 00:00:00,1949-06-01 00:00:00,6.0
49,1961-02-09 00:00:00,1949-06-01 00:00:00,6.1
50,1964-02-06 00:00:00,1949-06-01 00:00:00,6.2
51,1960-03-15 00:00:00,1949-07-01 00:00:00,6.5
52,1961-02-09 00:00:00,1949-07-01 00:00:00,6.7
53,1963-03-07 00:00:00,1949-07-01 00:00:00,6.6
54,1966-02-08 00:00:00,1949-07-01 00:00:00,6.7
55,1960-03-15 00:00:00,1949-08-01 00:00:00,6.8
56,1961-02-09 00:00:00,1949-08-01 00:00:00,7.0
57,1964-02-06 00:00:00,1949-08-01 00:00:00,6.8
58,1960-03-15 00:00:00,1949-09-01 00:00:00,6.5
59,1961-02-09 00:00:00,1949-09-01 00:00:00,6.6
60,1963-03-07 00:00:00,1949-09-01 00:00:00,6.5
61,1964-02-06 00:00:00,1949-09-01 00:00:00,6.6
62,1960-03-15 00:00:00,1949-10-01 00:00:00,7.8
63,1962-01-31 00:00:00,1949-10-01 00:00:00,7.7
64,1963-03-07 00:00:00,1949-10-01 00:00:00,7.6
65,1964-02-06 00:00:00,1949-10-01 00:00:00,7.9
66,1960-03-15 00:00:00,1949-11-01 00:00:00,6.5
